n_open,objective
17,1761522.2780402184
18,1759026.9763900652
19,1502374.6503865467
20,1407895.918072917
21,1380004.5697976016
22,1390372.2604190256
23,1404090.5366183603
24,1424486.6034485558
25,1445182.4836521433
26,1466122.8942599853
