n_open,objective
7,1547618.092435381
8,1520935.8004447685
9,1500547.9171150287
10,1488426.388879415
11,1489626.4586467608
12,1502493.5960666263
13,1520267.3741651955
14,1539787.5928414962
15,1563168.3702661218
