day_of_week,deliveries,pickups,total_demand,pickup_share
Tue,1885.9038461538462,3389.6923076923076,5275.596153846154,0.6425003301734878
Mon,1564.7115384615386,2832.769230769231,4397.4807692307695,0.6440389734796933
Wed,1501.8301886792453,2698.754716981132,4200.584905660377,0.642316842705456
Fri,1481.2307692307693,2672.8846153846152,4154.115384615385,0.6433876473010872
Thu,1463.0192307692307,2636.25,4099.2692307692305,0.6431388681611896
Sat,1352.1538461538462,2437.173076923077,3789.326923076923,0.6432782037196537
