date,day_index,day_of_week,deliveries,pickups,active_service_points,total_demand,pickup_share,delivery_share,month,month_name,is_sunday,is_zero_demand_day
2025-12-25,359,Thu,0,0,35,0,,,12,December,False,True
2025-12-26,360,Fri,0,0,35,0,,,12,December,False,True
