fixed_cost,delivery_cost,storage_cost,apl_operating_cost,penalty_cost,total_cost,open_locations,open_service_points,open_apls,annual_pickups,annual_deliveries,pickup_share,avg_distance_km,max_distance_km,city_bounce_rate,max_location_bounce_rate,solver_status,solver_objective,apl_candidate_count,candidate_setting
770000.0,832480.5592869685,165662.7114106437,77831.14203729996,3996.4286957825466,1849970.8414306948,21,13,8,828313.5570532187,523538.44294678135,0.6127250298503228,0.8698737628169635,5.1665464630789995,0.0,0.0,Optimal,1849970.8414306932,12,12
795000.0,721695.0367047722,172412.10510109225,137765.14512452562,3622.2320085580454,1830494.518938948,25,12,13,862060.5255054613,489791.47449453874,0.637688538024474,0.7731365399803533,5.1665464630789995,0.0,0.0,Optimal,1830494.5189389472,20,20
740000.0,717134.3391797654,173185.94667673716,159640.63778713162,3570.3422705708226,1793531.265914205,26,10,16,865929.7333836858,485922.2666163142,0.6405506914837467,0.7806611614956631,4.4769951507269985,0.0,0.0,Optimal,1793531.2659142034,30,30
645000.0,657477.5424232762,175117.01478619568,202229.42741891992,1483.0121019945655,1681306.9967303865,29,6,23,875585.0739309783,476266.92606902163,0.6476929974072445,0.7319535988050427,4.4769951507269985,0.0,0.0,Optimal,1681306.996730385,50,50
615000.0,375872.48231990007,192160.723954218,390211.1250448507,1246.3034522602193,1574490.634771229,41,0,41,960803.6197710899,391048.3802289101,0.7107313668738071,0.4627778818503275,4.20218225511,0.0,0.0,Optimal,1574490.6347712283,216,ALL
